,industry,city,state,min_revenue,max_revenue,min_salary_estimate,max_salary_estimate,avg_salary_estimate,avg_revenue
0,Social Assistance,New York, NY,100,500,37000,66000,51500,300.0
1,Health Care Services & Hospitals,New York, NY,2000,5000,37000,66000,51500,3500.0
3,IT Services,New York, NY,50,100,37000,66000,51500,75.0
4,Sports & Recreation,New York, NY,100,500,37000,66000,51500,300.0
7,Insurance Carriers,New York, NY,100,500,37000,66000,51500,300.0
8,Venture Capital & Private Equity,New York, NY,1000,2000,37000,66000,51500,1500.0
10,Health Care Services & Hospitals,New York, NY,5000,10000,37000,66000,51500,7500.0
12,Health Care Services & Hospitals,New York, NY,2000,5000,37000,66000,51500,3500.0
13,Advertising & Marketing,New York, NY,100,500,37000,66000,51500,300.0
14,Brokerage Services,Jersey City, NJ,1,5,37000,66000,51500,3.0
17,Consulting,New York, NY,25,50,37000,66000,51500,37.5
18,Research & Development,New York, NY,100,500,37000,66000,51500,300.0
20,Internet,New York, NY,10000,10000,37000,66000,51500,10000.0
22,Investment Banking & Asset Management,New York, NY,5000,10000,37000,66000,51500,7500.0
23,Casual Restaurants,New York, NY,1,5,37000,66000,51500,3.0
25,Advertising & Marketing,New York, NY,1,1,37000,66000,51500,1.0
26,Internet,New York, NY,10,25,37000,66000,51500,17.5
28,Advertising & Marketing,New York, NY,1,5,37000,66000,51500,3.0
30,Consulting,Brooklyn, NY,25,50,46000,87000,66500,37.5
31,Enterprise Software & Network Solutions,Jersey City, NJ,1,5,46000,87000,66500,3.0
35,Banks & Credit Unions,New York, NY,10000,10000,46000,87000,66500,10000.0
37,Computer Hardware & Software,New York, NY,1,1,46000,87000,66500,1.0
38,Health Care Services & Hospitals,New York, NY,5000,10000,46000,87000,66500,7500.0
39,Social Assistance,New York, NY,10,25,46000,87000,66500,17.5
43,Staffing & Outsourcing,New York, NY,1,5,46000,87000,66500,3.0
45,Staffing & Outsourcing,New York, NY,500,1000,46000,87000,66500,750.0
46,Advertising & Marketing,New York, NY,1,1,46000,87000,66500,1.0
47,Advertising & Marketing,New York, NY,100,500,46000,87000,66500,300.0
49,IT Services,New York, NY,500,1000,46000,87000,66500,750.0
50,Motion Picture Production & Distribution,New York, NY,10000,10000,46000,87000,66500,10000.0
52,IT Services,Jersey City, NJ,100,500,46000,87000,66500,300.0
54,Staffing & Outsourcing,Weehawken, NJ,50,100,46000,87000,66500,75.0
56,Motion Picture Production & Distribution,New York, NY,10000,10000,46000,87000,66500,10000.0
57,Legal,New York, NY,500,1000,46000,87000,66500,750.0
59,Real Estate,New York, NY,25,50,46000,87000,66500,37.5
61,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
62,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
63,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
64,Staffing & Outsourcing,New York, NY,1000,2000,51000,88000,69500,1500.0
65,Internet,New York, NY,2000,5000,51000,88000,69500,3500.0
66,IT Services,New York, NY,1,5,51000,88000,69500,3.0
67,Investment Banking & Asset Management,New York, NY,500,1000,51000,88000,69500,750.0
69,IT Services,New York, NY,100,500,51000,88000,69500,300.0
70,Staffing & Outsourcing,New York, NY,50,100,51000,88000,69500,75.0
73,Investment Banking & Asset Management,New York, NY,10000,10000,51000,88000,69500,10000.0
74,Staffing & Outsourcing,New York, NY,100,500,51000,88000,69500,300.0
76,TV Broadcast & Cable Networks,New York, NY,5000,10000,51000,88000,69500,7500.0
79,Staffing & Outsourcing,New York, NY,1,5,51000,88000,69500,3.0
83,Staffing & Outsourcing,New York, NY,100,500,51000,88000,69500,300.0
84,Accounting,New York, NY,1,1,51000,88000,69500,1.0
86,IT Services,New York, NY,1,1,51000,88000,69500,1.0
87,Consulting,New York, NY,10,25,51000,88000,69500,17.5
89,Brokerage Services,New York, NY,500,1000,51000,88000,69500,750.0
91,Investment Banking & Asset Management,New York, NY,2000,5000,51000,87000,69000,3500.0
92,Consulting,New York, NY,500,1000,51000,87000,69000,750.0
93,IT Services,New York, NY,10,25,51000,87000,69000,17.5
94,Staffing & Outsourcing,Jersey City, NJ,2000,5000,51000,87000,69000,3500.0
95,Consulting,New York, NY,1,5,51000,87000,69000,3.0
101,Staffing & Outsourcing,New York, NY,10,25,51000,87000,69000,17.5
102,Health Care Services & Hospitals,New York, NY,1000,2000,51000,87000,69000,1500.0
103,Investment Banking & Asset Management,New York, NY,10000,10000,51000,87000,69000,10000.0
104,Social Assistance,Long Island City, NY,25,50,51000,87000,69000,37.5
106,Consulting,New York, NY,5,10,51000,87000,69000,7.5
107,IT Services,New York, NY,50,100,51000,87000,69000,75.0
111,Investment Banking & Asset Management,New York, NY,100,500,51000,87000,69000,300.0
112,Staffing & Outsourcing,New York, NY,2000,5000,51000,87000,69000,3500.0
113,Computer Hardware & Software,New York, NY,25,50,51000,87000,69000,37.5
115,Enterprise Software & Network Solutions,Jersey City, NJ,10000,10000,51000,87000,69000,10000.0
116,Social Assistance,New York, NY,100,500,51000,87000,69000,300.0
117,Biotech & Pharmaceuticals,Florham Park, NJ,5,10,51000,87000,69000,7.5
119,Insurance Carriers,New York, NY,100,500,51000,87000,69000,300.0
121,Insurance Agencies & Brokerages,New York, NY,10000,10000,59000,85000,72000,10000.0
122,Staffing & Outsourcing,New York, NY,1,5,59000,85000,72000,3.0
124,IT Services,New York, NY,50,100,59000,85000,72000,75.0
125,IT Services,New York, NY,10000,10000,59000,85000,72000,10000.0
126,Health Care Services & Hospitals,Manhasset, NY,10000,10000,59000,85000,72000,10000.0
127,Staffing & Outsourcing,New York, NY,25,50,59000,85000,72000,37.5
129,Investment Banking & Asset Management,New York, NY,10000,10000,59000,85000,72000,10000.0
130,Health Care Services & Hospitals,New York, NY,25,50,59000,85000,72000,37.5
131,Computer Hardware & Software,New York, NY,1,5,59000,85000,72000,3.0
133,IT Services,New York, NY,50,100,59000,85000,72000,75.0
134,TV Broadcast & Cable Networks,New York, NY,5,10,59000,85000,72000,7.5
135,Gambling,Jersey City, NJ,2000,5000,59000,85000,72000,3500.0
136,Video Games,New York, NY,10,25,59000,85000,72000,17.5
138,IT Services,New York, NY,100,500,59000,85000,72000,300.0
141,Colleges & Universities,New York, NY,2000,5000,59000,85000,72000,3500.0
142,IT Services,New York, NY,10,25,59000,85000,72000,17.5
144,Colleges & Universities,New York, NY,100,500,59000,85000,72000,300.0
146,Consulting,New York, NY,5,10,59000,85000,72000,7.5
147,Internet,New York, NY,10000,10000,59000,85000,72000,10000.0
150,Health Care Services & Hospitals,New York, NY,5000,10000,43000,76000,59500,7500.0
152,Health Care Services & Hospitals,New York, NY,1000,2000,43000,76000,59500,1500.0
154,IT Services,New York, NY,10,25,43000,76000,59500,17.5
156,Social Assistance,New York, NY,10,25,43000,76000,59500,17.5
158,Health Care Services & Hospitals,New York, NY,1000,2000,43000,76000,59500,1500.0
159,Health Care Services & Hospitals,New York, NY,25,50,43000,76000,59500,37.5
160,"Health, Beauty, & Fitness",Newark, NJ,10,25,43000,76000,59500,17.5
164,IT Services,New York, NY,10,25,43000,76000,59500,17.5
165,Video Games,New York, NY,10,25,43000,76000,59500,17.5
168,Consulting,New York, NY,100,500,43000,76000,59500,300.0
169,Social Assistance,Brooklyn, NY,25,50,43000,76000,59500,37.5
170,IT Services,Weehawken, NJ,1,5,43000,76000,59500,3.0
171,IT Services,New York, NY,100,500,43000,76000,59500,300.0
173,Investment Banking & Asset Management,New York, NY,10000,10000,43000,76000,59500,10000.0
175,Consulting,Haworth, NJ,50,100,43000,76000,59500,75.0
176,Banks & Credit Unions,Fort Lee, NJ,50,100,43000,76000,59500,75.0
177,TV Broadcast & Cable Networks,New York, NY,10000,10000,43000,76000,59500,10000.0
180,IT Services,New York, NY,500,1000,43000,76000,59500,750.0
181,Accounting,New York, NY,1,1,60000,110000,85000,1.0
184,IT Services,New York, NY,25,50,60000,110000,85000,37.5
185,Consulting,New York, NY,10,25,60000,110000,85000,17.5
187,Staffing & Outsourcing,Jersey City, NJ,50,100,60000,110000,85000,75.0
188,Investment Banking & Asset Management,New York, NY,10000,10000,60000,110000,85000,10000.0
189,Social Assistance,New York, NY,25,50,60000,110000,85000,37.5
190,Staffing & Outsourcing,New York, NY,50,100,60000,110000,85000,75.0
191,Investment Banking & Asset Management,Weehawken, NJ,10000,10000,60000,110000,85000,10000.0
192,Video Games,New York, NY,1000,2000,60000,110000,85000,1500.0
193,Consulting,New York, NY,10,25,60000,110000,85000,17.5
195,Investment Banking & Asset Management,New York, NY,10000,10000,60000,110000,85000,10000.0
197,Health Care Services & Hospitals,New York, NY,500,1000,60000,110000,85000,750.0
198,IT Services,Jersey City, NJ,100,500,60000,110000,85000,300.0
200,Health Care Services & Hospitals,New York, NY,2000,5000,60000,110000,85000,3500.0
201,Consulting,New York, NY,1,1,60000,110000,85000,1.0
202,General Repair & Maintenance,New York, NY,1,5,60000,110000,85000,3.0
206,Advertising & Marketing,New York, NY,1,5,60000,110000,85000,3.0
208,IT Services,New York, NY,1,5,60000,110000,85000,3.0
209,Social Assistance,New York, NY,10,25,60000,110000,85000,17.5
210,IT Services,New York, NY,1,1,60000,110000,85000,1.0
211,IT Services,New York, NY,50,100,41000,78000,59500,75.0
214,Computer Hardware & Software,New York, NY,25,50,41000,78000,59500,37.5
215,Social Assistance,Bronx, NY,100,500,41000,78000,59500,300.0
217,Staffing & Outsourcing,New York, NY,1,5,41000,78000,59500,3.0
218,Investment Banking & Asset Management,New York, NY,10000,10000,41000,78000,59500,10000.0
219,Motion Picture Production & Distribution,New York, NY,10000,10000,41000,78000,59500,10000.0
220,IT Services,New York, NY,10000,10000,41000,78000,59500,10000.0
221,Staffing & Outsourcing,Jersey City, NJ,50,100,41000,78000,59500,75.0
223,Consulting,Little Ferry, NJ,10,25,41000,78000,59500,17.5
224,Staffing & Outsourcing,New York, NY,25,50,41000,78000,59500,37.5
226,Computer Hardware & Software,New York, NY,5,10,41000,78000,59500,7.5
228,Security Services,New York, NY,2000,5000,41000,78000,59500,3500.0
229,IT Services,Newark, NJ,10,25,41000,78000,59500,17.5
232,Staffing & Outsourcing,Jersey City, NJ,100,500,41000,78000,59500,300.0
233,Computer Hardware & Software,Jersey City, NJ,25,50,41000,78000,59500,37.5
235,Enterprise Software & Network Solutions,New York, NY,100,500,41000,78000,59500,300.0
237,Health Care Services & Hospitals,New York, NY,500,1000,41000,78000,59500,750.0
238,Advertising & Marketing,Lake Success, NY,1,1,41000,78000,59500,1.0
239,Investment Banking & Asset Management,New York, NY,10000,10000,41000,78000,59500,10000.0
240,Enterprise Software & Network Solutions,Jersey City, NJ,10000,10000,45000,88000,66500,10000.0
241,Health Care Services & Hospitals,Lake Success, NY,50,100,45000,88000,66500,75.0
243,Investment Banking & Asset Management,New York, NY,2000,5000,45000,88000,66500,3500.0
245,Health Care Services & Hospitals,New York, NY,500,1000,45000,88000,66500,750.0
246,Insurance Carriers,Newark, NJ,10000,10000,45000,88000,66500,10000.0
248,Colleges & Universities,New York, NY,2000,5000,45000,88000,66500,3500.0
249,Motion Picture Production & Distribution,New York, NY,10000,10000,45000,88000,66500,10000.0
250,IT Services,New York, NY,100,500,45000,88000,66500,300.0
251,Enterprise Software & Network Solutions,New York, NY,10000,10000,73000,127000,100000,10000.0
254,IT Services,New York, NY,500,1000,73000,127000,100000,750.0
256,Investment Banking & Asset Management,New York, NY,10000,10000,73000,127000,100000,10000.0
257,Staffing & Outsourcing,New York, NY,500,1000,73000,127000,100000,750.0
260,Advertising & Marketing,New York, NY,1,5,73000,127000,100000,3.0
261,Consulting,Summit, NJ,10,25,73000,127000,100000,17.5
262,Staffing & Outsourcing,New York, NY,25,50,73000,127000,100000,37.5
264,IT Services,New York, NY,50,100,73000,127000,100000,75.0
265,Accounting,New York, NY,1,1,84000,90000,87000,1.0
266,Computer Hardware & Software,New York, NY,1,1,84000,90000,87000,1.0
268,IT Services,New York, NY,100,500,84000,90000,87000,300.0
269,Staffing & Outsourcing,Haworth, NJ,5,10,84000,90000,87000,7.5
270,News Outlet,New York, NY,1000,2000,84000,90000,87000,1500.0
273,Staffing & Outsourcing,New York, NY,100,500,84000,90000,87000,300.0
274,IT Services,New York, NY,100,500,84000,90000,87000,300.0
277,Health Care Services & Hospitals,Manhasset, NY,10000,10000,84000,90000,87000,10000.0
280,Consulting,New York, NY,1000,2000,84000,90000,87000,1500.0
282,Computer Hardware & Software,Jersey City, NJ,25,50,84000,90000,87000,37.5
285,Health Care Services & Hospitals,New York, NY,50,100,27000,52000,39500,75.0
286,IT Services,New York, NY,500,1000,27000,52000,39500,750.0
287,Investment Banking & Asset Management,New York, NY,10000,10000,27000,52000,39500,10000.0
288,Banks & Credit Unions,New York, NY,5000,10000,27000,52000,39500,7500.0
290,Enterprise Software & Network Solutions,New York, NY,10000,10000,27000,52000,39500,10000.0
292,Advertising & Marketing,New York, NY,100,500,27000,52000,39500,300.0
293,Health Care Services & Hospitals,New York, NY,50,100,27000,52000,39500,75.0
294,IT Services,New York, NY,50,100,27000,52000,39500,75.0
295,Investment Banking & Asset Management,New York, NY,100,500,27000,52000,39500,300.0
296,Staffing & Outsourcing,Summit, NJ,1000,2000,27000,52000,39500,1500.0
297,Biotech & Pharmaceuticals,Berkeley Heights, NJ,2000,5000,27000,52000,39500,3500.0
298,Investment Banking & Asset Management,Jersey City, NJ,10000,10000,27000,52000,39500,10000.0
299,Health Care Services & Hospitals,New York, NY,500,1000,27000,52000,39500,750.0
300,Investment Banking & Asset Management,Jersey City, NJ,10000,10000,27000,52000,39500,10000.0
302,Investment Banking & Asset Management,Brooklyn, NY,10000,10000,27000,52000,39500,10000.0
303,Staffing & Outsourcing,Jersey City, NJ,100,500,27000,52000,39500,300.0
304,Social Assistance,Essex Fells, NJ,50,100,27000,52000,39500,75.0
305,Video Games,New York, NY,10,25,27000,52000,39500,17.5
306,Computer Hardware & Software,Jersey City, NJ,25,50,27000,52000,39500,37.5
307,IT Services,New York, NY,5,10,27000,52000,39500,7.5
309,Publishing,New York, NY,2000,5000,27000,52000,39500,3500.0
310,Health Care Services & Hospitals,New York, NY,500,1000,27000,52000,39500,750.0
312,IT Services,Franklin Lakes, NJ,25,50,27000,52000,39500,37.5
314,IT Services,New York, NY,50,100,42000,74000,58000,75.0
317,Investment Banking & Asset Management,Newark, NJ,10000,10000,42000,74000,58000,10000.0
318,Health Care Services & Hospitals,New York, NY,10,25,42000,74000,58000,17.5
319,Social Assistance,New York, NY,100,500,42000,74000,58000,300.0
320,Health Care Services & Hospitals,New York, NY,500,1000,42000,74000,58000,750.0
321,IT Services,New York, NY,100,500,42000,74000,58000,300.0
323,Enterprise Software & Network Solutions,Jersey City, NJ,10,25,42000,74000,58000,17.5
324,Insurance Carriers,New York, NY,100,500,42000,74000,58000,300.0
326,IT Services,New York, NY,2000,5000,42000,74000,58000,3500.0
329,Investment Banking & Asset Management,New York, NY,10000,10000,42000,74000,58000,10000.0
331,Insurance Carriers,New York, NY,5000,10000,42000,74000,58000,7500.0
332,IT Services,New York, NY,50,100,42000,74000,58000,75.0
333,IT Services,New York, NY,50,100,42000,74000,58000,75.0
335,IT Services,New York, NY,50,100,42000,74000,58000,75.0
336,Health Fundraising Organizations,New York, NY,25,50,42000,74000,58000,37.5
338,Insurance Carriers,Newark, NJ,10000,10000,42000,74000,58000,10000.0
339,Health Care Services & Hospitals,Lake Success, NY,50,100,42000,74000,58000,75.0
340,Internet,New York, NY,2000,5000,77000,132000,104500,3500.0
341,Insurance Carriers,New York, NY,5000,10000,77000,132000,104500,7500.0
345,Investment Banking & Asset Management,New York, NY,5000,10000,77000,132000,104500,7500.0
346,IT Services,New York, NY,50,100,77000,132000,104500,75.0
347,Computer Hardware & Software,New York, NY,1,5,77000,132000,104500,3.0
348,Staffing & Outsourcing,New York, NY,1,5,77000,132000,104500,3.0
349,Enterprise Software & Network Solutions,New York, NY,50,100,77000,132000,104500,75.0
351,Staffing & Outsourcing,Jersey City, NJ,2000,5000,77000,132000,104500,3500.0
352,Health Care Services & Hospitals,New York, NY,100,500,77000,132000,104500,300.0
353,Health Care Services & Hospitals,Secaucus, NJ,5000,10000,77000,132000,104500,7500.0
358,Utilities,Brooklyn, NY,5000,10000,77000,132000,104500,7500.0
360,Advertising & Marketing,New York, NY,2000,5000,77000,132000,104500,3500.0
361,Computer Hardware & Software,Jersey City, NJ,25,50,77000,132000,104500,37.5
362,Investment Banking & Asset Management,Newark, NJ,10000,10000,77000,132000,104500,10000.0
363,Consulting,New York, NY,5,10,77000,132000,104500,7.5
365,Health Care Services & Hospitals,New York, NY,5000,10000,77000,132000,104500,7500.0
366,Advertising & Marketing,Lake Success, NY,1,1,77000,132000,104500,1.0
368,Investment Banking & Asset Management,Jersey City, NJ,10000,10000,77000,132000,104500,10000.0
370,IT Services,Florham Park, NJ,50,100,98000,114000,106000,75.0
371,Investment Banking & Asset Management,New York, NY,5000,10000,98000,114000,106000,7500.0
372,Investment Banking & Asset Management,Florham Park, NJ,10000,10000,98000,114000,106000,10000.0
373,Insurance Carriers,Woodbridge, NJ,10,25,98000,114000,106000,17.5
374,Health Care Services & Hospitals,New York, NY,1000,2000,98000,114000,106000,1500.0
375,Health Care Services & Hospitals,New York, NY,50,100,98000,114000,106000,75.0
377,Staffing & Outsourcing,New York, NY,50,100,98000,114000,106000,75.0
378,Enterprise Software & Network Solutions,New York, NY,10000,10000,98000,114000,106000,10000.0
379,Health Care Services & Hospitals,New York, NY,2000,5000,98000,114000,106000,3500.0
380,IT Services,Whippany, NJ,50,100,98000,114000,106000,75.0
381,IT Services,New York, NY,1,1,98000,114000,106000,1.0
386,Computer Hardware & Software,New York, NY,1,5,98000,114000,106000,3.0
387,Investment Banking & Asset Management,Florham Park, NJ,10000,10000,98000,114000,106000,10000.0
389,Health Care Services & Hospitals,Lake Success, NY,50,100,98000,114000,106000,75.0
393,Staffing & Outsourcing,Hoboken, NJ,100,500,98000,114000,106000,300.0
394,Advertising & Marketing,New York, NY,1,5,98000,114000,106000,3.0
395,Consulting,New York, NY,10,25,98000,114000,106000,17.5
397,Health Care Services & Hospitals,West Orange, NJ,1000,2000,98000,114000,106000,1500.0
398,IT Services,New York, NY,50,100,98000,114000,106000,75.0
399,Consumer Products Manufacturing,New York, NY,5,10,48000,96000,72000,7.5
400,Enterprise Software & Network Solutions,Jersey City, NJ,10000,10000,48000,96000,72000,10000.0
405,Accounting,Harrison, NY,1,1,48000,96000,72000,1.0
406,Investment Banking & Asset Management,Florham Park, NJ,10000,10000,48000,96000,72000,10000.0
407,Staffing & Outsourcing,Jersey City, NJ,10,25,48000,96000,72000,17.5
409,IT Services,New York, NY,50,100,48000,96000,72000,75.0
410,Investment Banking & Asset Management,New York, NY,10000,10000,48000,96000,72000,10000.0
411,Lending,Iselin, NJ,10000,10000,48000,96000,72000,10000.0
412,IT Services,Montvale, NJ,1000,2000,48000,96000,72000,1500.0
415,Consulting,New York, NY,10,25,48000,96000,72000,17.5
416,IT Services,Brooklyn, NY,50,100,48000,96000,72000,75.0
422,Electrical & Electronic Manufacturing,West Jordan, UT,5,10,26000,47000,36500,7.5
423,Colleges & Universities,Salt Lake City, UT,2000,5000,26000,47000,36500,3500.0
424,Computer Hardware & Software,Salt Lake City, UT,100,500,26000,47000,36500,300.0
425,Consulting,Salt Lake City, UT,1,5,26000,47000,36500,3.0
427,Consulting,Salt Lake City, UT,50,100,26000,47000,36500,75.0
430,Staffing & Outsourcing,Salt Lake City, UT,25,50,26000,47000,36500,37.5
431,Investment Banking & Asset Management,Salt Lake City, UT,10000,10000,26000,47000,36500,10000.0
433,Staffing & Outsourcing,Salt Lake City, UT,25,50,26000,47000,36500,37.5
434,Consumer Products Manufacturing,Salt Lake City, UT,50,100,26000,47000,36500,75.0
437,IT Services,Salt Lake City, UT,5,10,26000,47000,36500,7.5
438,Internet,Salt Lake City, UT,100,500,26000,47000,36500,300.0
441,Computer Hardware & Software,Draper, UT,1000,2000,26000,47000,36500,1500.0
442,Industrial Manufacturing,Lehi, UT,100,500,26000,47000,36500,300.0
443,IT Services,American Fork, UT,10,25,26000,47000,36500,17.5
447,Energy,Lehi, UT,50,100,26000,47000,36500,75.0
448,Consulting,Riverton, UT,5,10,26000,47000,36500,7.5
450,Accounting,Salt Lake City, UT,25,50,31000,59000,45000,37.5
451,Energy,Lehi, UT,50,100,31000,59000,45000,75.0
452,IT Services,Salt Lake City, UT,5,10,31000,59000,45000,7.5
454,Staffing & Outsourcing,Reedley, CA,2000,5000,47000,81000,64000,3500.0
455,Preschool & Child Care,Visalia, CA,1,5,47000,81000,64000,3.0
456,Social Assistance,Hanford, CA,50,100,47000,81000,64000,75.0
457,Aerospace & Defense,Hampton, VA,50,100,43000,69000,56000,75.0
458,Colleges & Universities,Hampton, VA,100,500,43000,69000,56000,300.0
459,Consulting,Norfolk, VA,25,50,43000,69000,56000,37.5
460,Social Assistance,Hampton, VA,50,100,43000,69000,56000,75.0
461,IT Services,Hampton, VA,50,100,43000,69000,56000,75.0
462,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
465,Social Assistance,Norfolk, VA,5,10,43000,69000,56000,7.5
466,IT Services,Hampton, VA,50,100,43000,69000,56000,75.0
467,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
469,Food & Beverage Manufacturing,Smithfield, VA,10000,10000,43000,69000,56000,10000.0
470,Consulting,Suffolk, VA,5000,10000,43000,69000,56000,7500.0
472,Commercial Equipment Repair & Maintenance,Norfolk, VA,100,500,43000,69000,56000,300.0
473,IT Services,Hampton, VA,100,500,43000,69000,56000,300.0
475,IT Services,Hampton, VA,50,100,43000,69000,56000,75.0
476,Accounting,Newport News, VA,10,25,43000,69000,56000,17.5
477,IT Services,Hampton, VA,100,500,43000,69000,56000,300.0
478,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
480,Staffing & Outsourcing,Hampton, VA,5,10,43000,69000,56000,7.5
481,IT Services,Hampton, VA,100,500,43000,69000,56000,300.0
482,Telecommunications Services,Norfolk, VA,10,25,43000,69000,56000,17.5
483,Consulting,Virginia Beach, VA,5,10,43000,69000,56000,7.5
484,Consulting,Hampton, VA,10,25,43000,69000,56000,17.5
485,Aerospace & Defense,Yorktown, VA,10,25,43000,69000,56000,17.5
486,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
487,IT Services,Hampton, VA,100,500,49000,112000,80500,300.0
489,Consulting,Hampton, VA,10,25,49000,112000,80500,17.5
492,Telecommunications Services,Norfolk, VA,10,25,49000,112000,80500,17.5
494,Consulting,Fort Eustis, VA,10,25,49000,112000,80500,17.5
497,Commercial Equipment Repair & Maintenance,Norfolk, VA,100,500,49000,112000,80500,300.0
498,Aerospace & Defense,Norfolk, VA,2000,5000,49000,112000,80500,3500.0
501,Building & Personnel Services,Chesapeake, VA,100,500,49000,112000,80500,300.0
503,IT Services,Norfolk, VA,25,50,49000,112000,80500,37.5
504,IT Services,Norfolk, VA,25,50,49000,112000,80500,37.5
505,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
506,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
507,Colleges & Universities,Gainesville, FL,1000,2000,30000,54000,42000,1500.0
508,Insurance Carriers,Gainesville, FL,500,1000,30000,54000,42000,750.0
509,Health Care Services & Hospitals,Alachua, FL,500,1000,30000,54000,42000,750.0
510,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
511,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
512,Health Care Services & Hospitals,Gainesville, FL,500,1000,30000,54000,42000,750.0
513,Computer Hardware & Software,El Segundo, CA,100,500,55000,103000,79000,300.0
515,Internet,Los Angeles, CA,500,1000,55000,103000,79000,750.0
516,Enterprise Software & Network Solutions,Los Angeles, CA,1,5,55000,103000,79000,3.0
518,IT Services,Los Angeles, CA,50,100,55000,103000,79000,75.0
520,Internet,Los Angeles, CA,1,5,55000,103000,79000,3.0
522,Staffing & Outsourcing,Burbank, CA,50,100,55000,103000,79000,75.0
524,Federal Agencies,Los Angeles, CA,10,25,55000,103000,79000,17.5
525,Staffing & Outsourcing,Los Angeles, CA,25,50,55000,103000,79000,37.5
528,Accounting,Los Angeles, CA,1,1,55000,103000,79000,1.0
530,Staffing & Outsourcing,Culver City, CA,100,500,55000,103000,79000,300.0
533,IT Services,Los Angeles, CA,5,10,55000,103000,79000,7.5
534,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,55000,103000,79000,3500.0
536,Staffing & Outsourcing,El Segundo, CA,2000,5000,55000,103000,79000,3500.0
544,Construction,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
545,Consulting,Los Angeles, CA,10,25,37000,70000,53500,17.5
546,IT Services,Glendale, CA,5,10,37000,70000,53500,7.5
548,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
552,TV Broadcast & Cable Networks,Santa Monica, CA,1000,2000,37000,70000,53500,1500.0
553,Consulting,El Segundo, CA,5,10,37000,70000,53500,7.5
554,Colleges & Universities,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
555,Consulting,Cerritos, CA,50,100,37000,70000,53500,75.0
557,Motion Picture Production & Distribution,Burbank, CA,10000,10000,37000,70000,53500,10000.0
559,Construction,Irwindale, CA,10,25,37000,70000,53500,17.5
560,Video Games,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
561,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
562,Investment Banking & Asset Management,Los Angeles, CA,1000,2000,37000,70000,53500,1500.0
563,TV Broadcast & Cable Networks,Burbank, CA,10000,10000,37000,70000,53500,10000.0
564,Health Care Services & Hospitals,Los Angeles, CA,1000,2000,37000,70000,53500,1500.0
566,Investment Banking & Asset Management,Pasadena, CA,2000,5000,37000,70000,53500,3500.0
567,Publishing,Anaheim, CA,50,100,37000,70000,53500,75.0
569,Financial Transaction Processing,El Segundo, CA,2000,5000,37000,70000,53500,3500.0
570,IT Services,Los Angeles, CA,50,100,37000,70000,53500,75.0
571,Consulting,Irwindale, CA,10,25,57000,103000,80000,17.5
573,Federal Agencies,Los Angeles, CA,10,25,57000,103000,80000,17.5
574,Health Care Services & Hospitals,Beverly Hills, CA,2000,5000,57000,103000,80000,3500.0
582,Enterprise Software & Network Solutions,Los Angeles, CA,25,50,57000,103000,80000,37.5
586,Internet,Los Angeles, CA,5000,10000,57000,103000,80000,7500.0
587,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,57000,103000,80000,3500.0
588,Biotech & Pharmaceuticals,Northridge, CA,25,50,57000,103000,80000,37.5
589,Consulting,Los Angeles, CA,10,25,57000,103000,80000,17.5
590,Internet,Los Angeles, CA,1000,2000,57000,103000,80000,1500.0
591,Staffing & Outsourcing,Los Angeles, CA,2000,5000,57000,103000,80000,3500.0
596,Staffing & Outsourcing,Los Angeles, CA,2000,5000,57000,103000,80000,3500.0
597,Video Games,El Segundo, CA,5000,10000,57000,103000,80000,7500.0
600,IT Services,Los Angeles, CA,50,100,35000,45000,40000,75.0
602,Health Care Services & Hospitals,Pasadena, CA,10000,10000,35000,45000,40000,10000.0
604,Aerospace & Defense,El Segundo, CA,50,100,35000,45000,40000,75.0
611,Internet,Los Angeles, CA,1000,2000,35000,45000,40000,1500.0
613,Staffing & Outsourcing,Los Angeles, CA,1000,2000,35000,45000,40000,1500.0
615,TV Broadcast & Cable Networks,Burbank, CA,10000,10000,35000,45000,40000,10000.0
616,Insurance Carriers,Long Beach, CA,10000,10000,35000,45000,40000,10000.0
618,Staffing & Outsourcing,Los Angeles, CA,100,500,35000,45000,40000,300.0
619,IT Services,Los Angeles, CA,10000,10000,35000,45000,40000,10000.0
